sep=;
Timestamp [us];Power measure [W]
2064861.000000;146.8490
2070190.000000;146.8490
2075455.000000;146.8490
2081104.000000;146.8490
2086399.000000;146.8490
2091884.000000;146.8490
2097126.000000;146.9770
2102362.000000;146.9770
2107608.000000;146.9770
2113141.000000;146.9770
2118420.000000;146.9770
2123732.000000;146.9770
2129045.000000;146.9770
2134603.000000;146.9770
2139844.000000;146.9770
2145104.000000;146.9770
2150399.000000;146.9770
2155701.000000;146.9770
2161322.000000;146.9770
2166549.000000;146.9770
2171792.000000;146.9770
2177088.000000;146.9770
2182435.000000;146.9770
2187674.000000;146.9770
2192914.000000;146.9770
2198149.000000;147.0130
2203379.000000;147.0130
2208704.000000;147.0130
2213961.000000;147.0130
2219334.000000;147.0130
2224588.000000;147.0130
2229833.000000;147.0130
2235321.000000;147.0130
2240560.000000;147.0130
2245831.000000;147.0130
2251125.000000;147.0130
2256614.000000;147.0130
2261857.000000;147.0130
2267120.000000;147.0130
2272358.000000;147.0130
2277868.000000;147.0130
2283176.000000;147.0130
2288417.000000;147.0130
2293825.000000;147.0130
2299069.000000;147.0130
2304353.000000;146.9660
2309615.000000;146.9660
2314817.000000;146.9660
2320042.000000;146.9660
2325322.000000;146.9660
2330674.000000;146.9660
2335911.000000;146.9660
2341131.000000;146.9660
2346349.000000;146.9660
2351586.000000;146.9660
2356895.000000;146.9660
2362180.000000;146.9660
2367473.000000;146.9660
2372934.000000;146.9660
2378288.000000;146.9660
2383527.000000;146.9660
2388839.000000;146.9660
2394056.000000;146.9660
2399273.000000;146.9660
2404554.000000;147.0360
2409862.000000;147.0360
2415138.000000;147.0360
2420383.000000;147.0360
2425660.000000;147.0360
2431133.000000;147.0360
2436386.000000;147.0360
2441644.000000;147.0360
2446871.000000;147.0360
2452276.000000;147.0360
2457560.000000;147.0360
2462858.000000;147.0360
2468270.000000;147.0360
2473506.000000;147.0360
2478747.000000;147.0360
2483983.000000;147.0360
2489412.000000;147.0360
2494654.000000;147.0360
2499887.000000;147.0360
2505129.000000;147.0360
2510444.000000;146.8470
2515735.000000;146.8470
2521019.000000;146.8470
2526264.000000;146.8470
2531481.000000;146.8470
2536710.000000;146.8470
2542170.000000;146.8470
2547437.000000;146.8470
2553101.000000;146.8470
2558346.000000;146.8470
2563965.000000;146.8470
2569212.000000;146.8470
2574488.000000;146.8470
2579818.000000;146.8470
2585446.000000;146.8470
2590695.000000;146.8470
2595979.000000;146.8470
2601226.000000;146.8470
2606414.000000;146.8470
2611679.000000;146.9660
2616906.000000;146.9660
2622171.000000;146.9660
2627407.000000;146.9660
2632904.000000;146.9660
2638152.000000;146.9660
2643434.000000;146.9660
2648677.000000;146.9660
2654133.000000;146.9660
2659431.000000;146.9660
2664682.000000;146.9660
2669933.000000;146.9660
2675179.000000;146.9660
2680883.000000;146.9660
2686181.000000;146.9660
2691479.000000;146.9660
2696726.000000;146.9660
2702144.000000;146.9660
2707377.000000;146.9660
2712666.000000;146.9660
2717939.000000;146.9630
2723436.000000;146.9630
2728721.000000;146.9630
2733931.000000;146.9630
2739256.000000;146.9630
2744562.000000;146.9630
2749803.000000;146.9630
2755126.000000;146.9630
2760462.000000;146.9630
2765700.000000;146.9630
2770944.000000;146.9630
2776241.000000;146.9630
2781631.000000;146.9630
2786874.000000;146.9630
2792113.000000;146.9630
2797393.000000;146.9630
2802691.000000;146.9630
2808020.000000;146.9630
2813270.000000;146.9630
2818507.000000;147.0150
2823739.000000;147.0150
2829039.000000;147.0150
2834313.000000;147.0150
2839672.000000;147.0150
2844882.000000;147.0150
2850174.000000;147.0150
2855473.000000;147.0150
2861007.000000;147.0150
2866251.000000;147.0150
2871492.000000;147.0150
2876771.000000;147.0150
2882111.000000;147.0150
2887390.000000;147.0150
2892646.000000;147.0150
2897912.000000;147.0150
2903249.000000;147.0150
2908522.000000;147.0150
2913924.000000;147.0150
2919167.000000;147.0150
2924414.000000;147.0060
2929729.000000;147.0060
2935192.000000;147.0060
2940425.000000;147.0060
2945702.000000;147.0060
2950978.000000;147.0060
2956304.000000;147.0060
2961555.000000;147.0060
2966838.000000;147.0060
2972228.000000;147.0060
2977445.000000;147.0060
2982722.000000;147.0060
2988127.000000;147.0060
2993372.000000;147.0060
2999000.000000;147.0060
3004502.000000;147.0060
3009779.000000;147.0060
3015055.000000;147.0060
3020334.000000;147.0060
3025778.000000;147.0180
3031020.000000;147.0180
3036265.000000;147.0180
3041525.000000;147.0180
3047119.000000;147.0180
3052375.000000;147.0180
3057608.000000;147.0180
3062860.000000;147.0180
3068119.000000;147.0180
3073439.000000;147.0180
3078790.000000;147.0180
3084069.000000;147.0180
3089338.000000;147.0180
3094559.000000;147.0180
3099869.000000;147.0180
3105127.000000;147.0180
3110397.000000;147.0180
3115661.000000;147.0180
3120909.000000;147.0180
3126213.000000;147.0180
3131423.000000;146.8460
3136644.000000;146.8460
3141898.000000;146.8460
3147148.000000;146.8460
3152475.000000;146.8460
3157721.000000;146.8460
3162994.000000;146.8460
3168237.000000;146.8460
3173486.000000;146.8460
3178915.000000;146.8460
3184172.000000;146.8460
3189419.000000;146.8460
3194666.000000;146.8460
3199990.000000;146.8460
3205254.000000;146.8460
3210526.000000;146.8460
3215790.000000;146.8460
3221086.000000;146.8460
3226433.000000;146.8460
3231712.000000;146.8620
3236979.000000;146.8620
3242228.000000;146.8620
3247494.000000;146.8620
3252906.000000;146.8620
3258154.000000;146.8620
3263485.000000;146.8620
3268789.000000;146.8620
3274083.000000;146.8620
3279344.000000;146.8620
3284639.000000;146.8620
3289883.000000;146.8620
3295131.000000;146.8620
3300381.000000;146.8620
3305775.000000;146.8620
3311043.000000;146.8620
3316288.000000;146.8620
3321567.000000;146.8620
3327027.000000;146.8620
3332305.000000;146.8620
3337568.000000;146.7270
3342853.000000;146.7270
3348482.000000;146.7270
3353846.000000;146.7270
3359129.000000;146.7270
3364379.000000;146.7270
3369701.000000;146.7270
3374948.000000;146.7270
3380174.000000;146.7270
3385461.000000;146.7270
3390705.000000;146.7270
3396178.000000;146.7270
3401446.000000;146.7270
3406694.000000;146.7270
3411973.000000;146.7270
3417237.000000;146.7270
3422508.000000;146.7270
3427789.000000;146.7270
3433082.000000;146.7270
3438314.000000;146.7890
3443571.000000;146.7890
3449061.000000;146.7890
3454371.000000;146.7890
3459623.000000;146.7890
3464909.000000;146.7890
3470533.000000;146.7890
3475787.000000;146.7890
3481083.000000;146.7890
3486367.000000;146.7890
3491643.000000;146.7890
3496888.000000;146.7890
3502148.000000;146.7890
3507421.000000;146.7890
3512671.000000;146.7890
3518124.000000;146.7890
3523402.000000;146.7890
3528643.000000;146.7890
3533934.000000;146.7890
3539336.000000;146.7890
3544584.000000;146.8620
3549832.000000;146.8620
3555121.000000;146.8620
3560503.000000;146.8620
3565830.000000;146.8620
3571097.000000;146.8620
3576546.000000;146.8620
3581793.000000;146.8620
3587045.000000;146.8620
3592338.000000;146.8620
3597599.000000;146.8620
3602902.000000;146.8620
3608170.000000;146.8620
3613455.000000;146.8620
3618785.000000;146.8620
3624071.000000;146.8620
3629378.000000;146.8620
3634664.000000;146.8620
3640115.000000;146.8620
3645579.000000;146.7210
3650867.000000;146.7210
3656148.000000;146.7210
3661427.000000;146.7210
3666978.000000;146.7210
3672233.000000;146.7210
3677557.000000;146.7210
3682825.000000;146.7210
3688460.000000;146.7210
3693981.000000;146.7210
3699272.000000;146.7210
3704594.000000;146.7210
3709848.000000;146.7210
3715099.000000;146.7210
3720383.000000;146.7210
3725674.000000;146.7210
3730967.000000;146.7210
3736325.000000;146.7210
3741602.000000;146.7210
3746902.000000;146.7210
3752149.000000;146.7390
3757454.000000;146.7390
3762729.000000;146.7390
3768187.000000;146.7390
3773445.000000;146.7390
3778702.000000;146.7390
3783975.000000;146.7390
3789329.000000;146.7390
3794707.000000;146.7390
3799972.000000;146.7390
3805239.000000;146.7390
3810498.000000;146.7390
3815754.000000;146.7390
3821042.000000;146.7390
3826353.000000;146.7390
3831604.000000;146.7390
3836934.000000;146.7390
3842187.000000;146.7390
3847653.000000;146.7390
3852905.000000;146.7350
3858159.000000;146.7350
3863432.000000;146.7350
3868694.000000;146.7350
3873962.000000;146.7350
3879248.000000;146.7350
3884505.000000;146.7350
3889760.000000;146.7350
3895044.000000;146.7350
3900513.000000;146.7350
3905770.000000;146.7350
3911025.000000;146.7350
3916280.000000;146.7350
3921750.000000;146.7350
3927037.000000;146.7350
3932291.000000;146.7350
3937636.000000;146.7350
3942893.000000;146.7350
3948140.000000;146.7350
3953451.000000;146.7350
3958828.000000;146.7930
3964044.000000;146.7930
3969348.000000;146.7930
3974608.000000;146.7930
3980093.000000;146.7930
3985395.000000;146.7930
3990678.000000;146.7930
3995939.000000;146.7930
4001148.000000;146.7930
4006383.000000;146.7930
4011612.000000;146.7930
4016856.000000;146.7930
4022149.000000;146.7930
4027420.000000;146.7930
4032690.000000;146.7930
4037945.000000;146.7930
4043310.000000;146.7930
4048563.000000;146.7930
4053815.000000;146.7930
4059103.000000;146.8960
4064563.000000;146.8960
4069856.000000;146.8960
4075173.000000;146.8960
4080435.000000;146.8960
4085738.000000;146.8960
4091013.000000;146.8960
4096298.000000;146.8960
4101550.000000;146.8960
4106830.000000;146.8960
4112351.000000;146.8960
4117607.000000;146.8960
4122863.000000;146.8960
4128107.000000;146.8960
4133596.000000;146.8960
4138917.000000;146.8960
4144176.000000;146.8960
4149443.000000;146.8960
4154827.000000;146.8960
4160140.000000;146.8960
4165429.000000;147.0070
4170831.000000;147.0070
4176123.000000;147.0070
4181377.000000;147.0070
4186780.000000;147.0070
4192102.000000;147.0070
4197359.000000;147.0070
4202614.000000;147.0070
4208086.000000;147.0070
4213354.000000;147.0070
4218584.000000;147.0070
4223874.000000;147.0070
4229541.000000;147.0070
4234800.000000;147.0070
4240060.000000;147.0070
