sep=;
Timestamp [us];Power measure [W]
3100522.000000;146.4490
3106281.000000;146.4490
3112505.000000;146.4490
3118301.000000;146.4490
3124329.000000;146.4490
3130093.000000;146.4490
3135961.000000;146.4490
3141709.000000;146.4490
3147915.000000;146.4490
3153708.000000;146.4490
3159517.000000;146.4490
3165389.000000;146.4490
3171173.000000;146.4490
3177320.000000;146.4490
3183127.000000;146.4490
3188968.000000;146.4490
3194723.000000;146.4490
3200763.000000;146.4120
3206490.000000;146.4120
3212294.000000;146.4120
3218092.000000;146.4120
3223881.000000;146.4120
3229929.000000;146.4120
3235671.000000;146.4120
3241754.000000;146.4120
3247483.000000;146.4120
3253393.000000;146.4120
3259148.000000;146.4120
3265238.000000;146.4120
3271048.000000;146.4120
3276863.000000;146.4120
3282604.000000;146.4120
3288412.000000;146.4120
3294483.000000;146.4120
3300339.000000;146.4120
3306356.000000;146.4830
3312105.000000;146.4830
3318013.000000;146.4830
3323831.000000;146.4830
3329794.000000;146.4830
3335555.000000;146.4830
3341698.000000;146.4830
3347554.000000;146.4830
3353421.000000;146.4830
3359255.000000;146.4830
3365117.000000;146.4830
3371042.000000;146.4830
3376901.000000;146.4830
3382734.000000;146.4830
3388555.000000;146.4830
3394552.000000;146.4830
3400393.000000;146.4830
3406471.000000;146.5140
3412355.000000;146.5140
3418189.000000;146.5140
3423996.000000;146.5140
3429778.000000;146.5140
3435729.000000;146.5140
3441755.000000;146.5140
3447552.000000;146.5140
3453312.000000;146.5140
3459191.000000;146.5140
3465076.000000;146.5140
3471020.000000;146.5140
3476803.000000;146.5140
3482743.000000;146.5140
3488694.000000;146.5140
3494513.000000;146.5140
3500358.000000;146.5140
3506635.000000;146.5140
3512474.000000;146.6210
3518810.000000;146.6210
3524654.000000;146.6210
3530607.000000;146.6210
3536438.000000;146.6210
3542566.000000;146.6210
3548411.000000;146.6210
3554438.000000;146.6210
3560331.000000;146.6210
3566349.000000;146.6210
3572202.000000;146.6210
3578258.000000;146.6210
3583993.000000;146.6210
3590034.000000;146.6210
3595856.000000;146.6210
3601810.000000;146.6210
3607567.000000;146.6210
3613761.000000;146.3440
3619655.000000;146.3440
3625728.000000;146.3440
3631477.000000;146.3440
3637385.000000;146.3440
3643237.000000;146.3440
3649486.000000;146.3440
3655382.000000;146.3440
3661385.000000;146.3440
3667191.000000;146.3440
3672965.000000;146.3440
3678866.000000;146.3440
3684902.000000;146.3440
3690787.000000;146.3440
3696732.000000;146.3440
3702534.000000;146.3440
3708440.000000;146.3440
3714363.000000;146.3440
3720326.000000;146.3970
3726322.000000;146.3970
3732159.000000;146.3970
3738177.000000;146.3970
3744027.000000;146.3970
3750225.000000;146.3970
3756020.000000;146.3970
3762034.000000;146.3970
3767932.000000;146.3970
3773928.000000;146.3970
3779767.000000;146.3970
3785565.000000;146.3970
3791371.000000;146.3970
3797135.000000;146.3970
3803045.000000;146.3970
3808818.000000;146.3970
3814942.000000;146.3970
3820811.000000;146.2640
3826630.000000;146.2640
3832488.000000;146.2640
3838525.000000;146.2640
3844410.000000;146.2640
3850229.000000;146.2640
3856026.000000;146.2640
3861817.000000;146.2640
